Id,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Website,Exchange
3711,RFL,"Rafael Holdings, Inc.",21.83,$304.08M,2018,Finance,Real Estate,https://www.nasdaq.com/symbol/rfl,NYSE
3712,UTG,Reaves Utility Income Fund,35.56,$1.73B,2004,n/a,n/a,https://www.nasdaq.com/symbol/utg,NYSE
3713,RHE,"Regional Health Properties, Inc.",1.82,$3.07M,2017,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/rhe,NYSE
3714,RHE^A,"Regional Health Properties, Inc.",2.81,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rhe^a,NYSE
3715,RCG,"RENN Fund, Inc.",1.47,$8.75M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rcg,NYSE
3716,RVP,"Retractable Technologies, Inc.",0.6672,$21.8M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rvp,NYSE
3717,REI,"Ring Energy, Inc.",3.28,$222.42M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rei,NYSE
3718,RIF,RMR Real Estate Income Fund,19.11,$194.96M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rif,NYSE
3719,SACH,Sachem Capital Corp.,5.32,$100.58M,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sach,NYSE
3720,SNMP,Sanchez Midstream Partners LP,2.02,$36.97M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/snmp,NYSE
3721,SAND          ,Sandstorm Gold Ltd,5.52,$985.36M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sand,NYSE
3722,SEB,Seaboard Corporation,4039.59,$4.72B,1996,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seb,NYSE
